		SIKKIM MANIPAL UNIVERSITY 

		GRADE SHEET - APRIL/MAY 2019 EXAMINATIONS.  

Subject Code  : BA1106                     REF CODE: COB205
Subject Title : COMMUNICATION SKILLS (BA1106)
Subject Credit : 3.0 

REGNO		INT	   UM		TOT	GRADE
201800006	37.70	   32	     70.00	B
201800016	37.20	   29	     67.00	C
201800027	36.65	   33	     70.00	B
201800038	41.90	 34.5	     77.00	B
201800050	38.90	   32	     71.00	B
201800073	29.70	 26.5	     57.00	D
201800086	44.05	 36.5	     81.00	A
201800097	39.85	 37.5	     78.00	A
201800108	33.50	 26.5	     60.00	D
201800124	36.60	 32.5	     70.00	B
201800135	37.60	 37.5	     76.00	B
201800147	35.60	 27.5	     64.00	C
201800157	38.50	   32	     71.00	B
201800171	46.55	   43	     90.00	S
201800183	34.30	   28	     63.00	C
201800196	29.35	   AB	      0.00	I
201800206	38.85	   35	     74.00	B
201800217	40.15	 35.5	     76.00	B
201800228	35.65	   33	     69.00	C
201800238	34.80	   27	     62.00	C
201800248	18.65	 21.5	     41.00	F
201800260	36.80	 29.5	     67.00	C
201800271	43.65	 43.5	     88.00	S
201800281	41.45	   34	     76.00	B
201800455	41.00	   32	     73.00	B
201800465	36.95	   37	     74.00	B
201800475	33.65	   33	     67.00	C
201800485	38.75	   31	     70.00	B
201800495	35.95	   26	     62.00	C
201800505	47.15	 41.5	     89.00	S
201800515	37.40	 32.5	     70.00	B
201800535	30.60	 24.5	     56.00	D
201800545	39.50	 33.5	     73.00	B
201800555	36.55	 33.5	     71.00	B
201800575	37.10	   34	     72.00	B
201800585	36.60	   34	     71.00	B
201800595	32.55	 21.5	     55.00	D
201800605	41.70	   41	     83.00	A
201800615	37.55	 26.5	     65.00	C
201800625	37.75	   39	     77.00	B
201800635	33.75	   26	     60.00	D
201800645	34.65	   34	     69.00	C
201800293	28.95	 28.5	     58.00	D
201800659	39.60	   34	     74.00	B
201800308	43.15	   37	     81.00	A
201800331	42.25	 37.5	     80.00	A
201800337	41.55	 32.5	     75.00	B
201800007	44.70	 40.5	     86.00	S
201800017	31.20	 33.5	     65.00	C
201800028	35.30	 39.5	     75.00	B
201800039	25.30	   28	     54.00	D
201800051	47.70	 39.5	     88.00	S
201800074	41.60	 34.5	     77.00	B
201800088	40.70	 36.5	     78.00	A
201800109	33.10	 25.5	     59.00	D
201800125	30.15	 23.5	     54.00	D
201800148	38.90	 31.5	     71.00	B
201800158	44.30	   37	     82.00	A
201800172	41.10	   35	     77.00	B
201800185	39.50	 33.5	     73.00	B
201800197	47.10	   43	     91.00	S
201800208	41.90	   35	     77.00	B
201800218	44.10	   37	     82.00	A
201800229	39.50	 36.5	     76.00	B
201800239	43.05	 36.5	     80.00	A
201800249	32.70	 25.5	     59.00	D
201800261	40.90	 37.5	     79.00	A
201800272	31.75	 30.5	     63.00	C
201800282	24.30	   21	     46.00	E
201800456	42.05	 30.5	     73.00	B
201800466	37.30	 37.5	     75.00	B
201800476	32.60	   26	     59.00	D
201800496	42.15	   34	     77.00	B
201800506	42.30	 32.5	     75.00	B
201800516	43.65	 33.5	     78.00	A
201800526	40.35	 30.5	     71.00	B
201800536	37.80	   28	     66.00	C
201800546	42.80	   34	     77.00	B
201800556	43.40	 41.5	     85.00	A
201800576	42.20	 35.5	     78.00	A
201800586	35.30	 29.5	     65.00	C
201800596	40.10	 40.5	     81.00	A
201800606	42.90	 36.5	     80.00	A
201800616	46.80	   39	     86.00	S
201800636	45.30	   38	     84.00	A
201800646	39.80	   41	     81.00	A
201800290	35.20	   34	     70.00	B
201800653	45.80	   35	     81.00	A
201800297	39.85	 33.5	     74.00	B
201800296	45.50	 34.5	     80.00	A
201800316	45.80	 36.5	     83.00	A
201800330	41.30	 38.5	     80.00	A
201800340	37.70	 37.5	     76.00	B
201800008	42.55	 28.5	     72.00	B
201800018	41.70	 42.5	     85.00	A
201800029	32.50	   29	     62.00	C
201800041	26.45	   28	     55.00	D
201800052	 0.00	   DT	      0.00	DT
201800075	34.60	 34.5	     70.00	B
201800089	43.90	 41.5	     86.00	S
201800098	46.00	   40	     86.00	S
201800099	36.30	   28	     65.00	C
201800111	36.10	 33.5	     70.00	B
201800126	38.50	 37.5	     76.00	B
201800149	39.60	 35.5	     76.00	B
201800159	32.30	   28	     61.00	C
201800173	42.30	 40.5	     83.00	A
201800186	26.50	   30	     57.00	D
201800198	28.40	   31	     60.00	D
201800209	32.85	   31	     64.00	C
201800230	24.85	   24	     49.00	E
201800240	40.85	 35.5	     77.00	B
201800250	36.30	   35	     72.00	B
201800262	34.45	   34	     69.00	C
201800283	41.10	 37.5	     79.00	A
201800457	33.50	   35	     69.00	C
201800467	37.65	   40	     78.00	A
201800487	33.40	   AB	      0.00	I
201800497	36.20	 37.5	     74.00	B
201800507	40.60	 32.5	     74.00	B
201800517	33.50	 36.5	     70.00	B
201800527	 0.00	   DT	      0.00	DT
201800537	29.45	   28	     58.00	D
201800547	39.00	   36	     75.00	B
201800567	39.85	   35	     75.00	B
201800577	31.15	   41	     73.00	B
201800587	29.90	   28	     58.00	D
201800597	35.55	   35	     71.00	B
201800607	35.30	   34	     70.00	B
201800647	37.25	   35	     73.00	B
201800660	28.95	 32.5	     62.00	C
201800661	37.30	   35	     73.00	B
201800637	41.80	 37.5	     80.00	A
201800312	29.45	 38.5	     68.00	C
201800326	41.80	 34.5	     77.00	B
201800329	20.00	   21	     41.00	F
201800345	40.15	 40.5	     81.00	A
201800009	19.40	   20	     40.00	F
201800020	29.25	   33	     63.00	C
201800030	31.55	 17.5	     50.00	E
201800042	38.55	   34	     73.00	B
201800090	39.85	 32.5	     73.00	B
201800100	37.50	   33	     71.00	B
201800112	38.20	 36.5	     75.00	B
201800139	29.70	 27.5	     58.00	D
201800150	39.75	   34	     74.00	B
201800160	35.85	   34	     70.00	B
201800174	37.60	 33.5	     72.00	B
201800187	39.45	 21.5	     61.00	C
201800199	37.50	   31	     69.00	C
201800210	29.75	 14.5	     45.00	E
201800220	36.90	 29.5	     67.00	C
201800231	33.80	   30	     64.00	C
201800241	32.25	   MP	     00.00	MP
201800252	28.60	 21.5	     51.00	E
201800263	37.25	   35	     73.00	B
201800274	35.25	   33	     69.00	C
201800284	25.10	   26	     52.00	E
201800458	40.15	   35	     76.00	B
201800468	42.00	 39.5	     82.00	A
201800478	31.20	 36.5	     68.00	C
201800488	35.30	   36	     72.00	B
201800498	32.85	 37.5	     71.00	B
201800508	37.95	   35	     73.00	B
201800518	30.40	 33.5	     64.00	C
201800528	30.35	 35.5	     66.00	C
201800538	29.15	   31	     61.00	C
201800558	29.95	   33	     63.00	C
201800568	38.10	   39	     78.00	A
201800578	36.75	 32.5	     70.00	B
201800588	41.40	 39.5	     81.00	A
201800598	42.70	   36	     79.00	A
201800608	29.25	 29.5	     59.00	D
201800618	21.20	 28.5	     50.00	E
201800628	40.15	   37	     78.00	A
201800638	35.10	 31.5	     67.00	C
201800648	30.20	 20.5	     51.00	E
201800288	40.50	 34.5	     75.00	B
201800289	36.60	 36.5	     74.00	B
201800317	38.25	 36.5	     75.00	B
201800454	37.55	   35	     73.00	B
201800341	39.45	   37	     77.00	B
201800010	37.25	   28	     66.00	C
201800021	33.45	   36	     70.00	B
201800031	37.40	 26.5	     64.00	C
201800043	29.70	   30	     60.00	D
201800054	35.05	   27	     63.00	C
201800065	43.10	 37.5	     81.00	A
201800078	45.85	   36	     82.00	A
201800091	37.30	   33	     71.00	B
201800101	36.90	 34.5	     72.00	B
201800115	39.70	   36	     76.00	B
201800140	39.45	   36	     76.00	B
201800151	40.85	 29.5	     71.00	B
201800188	37.75	 31.5	     70.00	B
201800200	38.25	 33.5	     72.00	B
201800211	39.40	   37	     77.00	B
201800221	33.90	 29.5	     64.00	C
201800232	28.55	   28	     57.00	D
201800242	36.90	   31	     68.00	C
201800253	33.00	   30	     63.00	C
201800265	37.35	 32.5	     70.00	B
201800275	32.90	   30	     63.00	C
201800285	39.20	   34	     74.00	B
201800459	42.05	 35.5	     78.00	A
201800469	43.15	 40.5	     84.00	A
201800489	37.00	   31	     68.00	C
201800499	37.20	   35	     73.00	B
201800509	38.65	   33	     72.00	B
201800519	32.50	 26.5	     59.00	D
201800529	43.45	 34.5	     78.00	A
201800539	45.05	 41.5	     87.00	S
201800549	45.95	 45.5	     92.00	S
201800569	36.50	   28	     65.00	C
201800579	23.05	   MP	     00.00	MP
201800589	37.25	 32.5	     70.00	B
